sku,legacy_sku,name,kind,genus,category,size,tier,planned,price,pack,needs_image,needs_culture,needs_price,needs_tier,needs_category,needs_size,mixed_combo_review,gap_count
S27-0449,AN04FEL001,"4.5"" FELICITY FELICIA BLUE",straight,Felicia,,"4.5""",,90,30.75,10,1,1,,1,1,,,4
S27-0763,AN04PEN001,"4.5"" PENTAS LUCKY STAR DARK RED",straight,Pentas,,"4.5""",,90,32.03,10,1,1,,1,1,,,4
S27-0764,AN04PEN002,"4.5"" PENTAS LUCKY STAR LIPSTICK",straight,Pentas,,"4.5""",,90,32.08,10,1,1,,1,1,,,4
S27-0765,AN04PEN004,"4.5"" PENTAS LUCKY STAR PINK",straight,Pentas,,"4.5""",,90,30.92,10,1,1,,1,1,,,4
S27-0766,AN04PEN005,"4.5"" PENTAS LUCKY STAR VIOLET",straight,Pentas,,"4.5""",,90,32.04,10,1,1,,1,1,,,4
S27-0767,AN04PEN003,"4.5"" PENTAS LUCKY STAR WHITE",straight,Pentas,,"4.5""",,90,31.33,10,1,1,,1,1,,,4
S27-0895,AN04SUN001,"4.5"" SUNPATIENS COMPACT CORAL PINK",straight,Sunpatiens,,"4.5""",,90,33.81,10,1,1,,1,1,,,4
S27-0547,AN04GEB002,"4.5"" GERBERA COLORBLOOM BICOLOR RED WHITE",straight,Gerbera,,"4.5""",,84,32.12,10,1,1,,1,1,,,4
S27-0912,AN04SUN015,"4.5"" SUNPATIENS COMPACT PINK FLASH",straight,Sunpatiens,,"4.5""",,80,32.29,10,1,1,,1,1,,,4
S27-0349,ANO6CLC012,"6.5"" COLOCASIA ALOHA",straight,Colocasia,,"6.5""",,72,8.85,6,1,1,,1,1,,,4
S27-0353,ANO6CLC010,"6.5"" COLOCASIA ILLUSTRIS",straight,Colocasia,,"6.5""",,72,9.12,6,1,1,,1,1,,,4
S27-0355,ANA6CLC015,"6.5"" COLOCASIA MAUI GOLD",straight,Colocasia,,"6.5""",,72,9.16,6,1,1,,1,1,,,4
S27-0356,AN06CLC004,"6.5"" COLOCASIA MAUI SUNRISE",straight,Colocasia,,"6.5""",,72,9.49,6,1,1,,1,1,,,4
S27-0762,AN04GRA007,"4.5"" PURPLE FOUNTAIN GRASS",straight,Pennisetum,,"4.5""",,72,32.75,10,1,1,,1,1,,,4
S27-0275,AN04CAA003,"4.5"" CANNA CANNOVA RED GOLD FLAME",straight,Canna,,"4.5""",,70,32.52,10,1,1,,1,1,,,4
S27-0277,AN04CAA004,"4.5"" CANNA CANNOVA ROSE",straight,Canna,,"4.5""",,70,32.32,10,1,1,,1,1,,,4
S27-0279,AN04CAA005,"4.5"" CANNA CANNOVA YELLOW",straight,Canna,,"4.5""",,70,32.21,10,1,1,,1,1,,,4
S27-0386,AN04CUP002,"4.5"" CUPHEA FIRECRACKER",straight,Cuphea,,"4.5""",,70,32.09,10,1,1,,1,1,,,4
S27-0387,AN04CUP003,"4.5"" CUPHEA HONEYBELLS",straight,Cuphea,,"4.5""",,70,31.73,10,1,1,,1,1,,,4
S27-0389,AN04GRA003,"4.5"" CYPERUS CLEOPATRA",straight,Cyperus,,"4.5""",,70,32.35,10,1,1,,1,1,,,4
S27-0711,AN180PAN005,1801S RETAIL PANSY DELTA CLASSIC MONET MIX,straight,Pansy,color_annuals,,,64,12.1,1,1,1,,1,,1,,4
S27-0717,AN180PAN008,1801S RETAIL PANSY DELTA PRO CLEAR COLORS MIX,straight,Pansy,color_annuals,,,64,11.85,1,1,1,,1,,1,,4
S27-0732,AN180PAN011,1801S RETAIL PANSY DELTA PRO CLEAR TRUE BLUE,straight,Pansy,color_annuals,,,64,11.77,1,1,1,,1,,1,,4
S27-0735,AN180PAN012,1801S RETAIL PANSY DELTA PRO CLEAR VIOLET,straight,Pansy,color_annuals,,,64,11.7,1,1,1,,1,,1,,4
S27-0752,AN180PAN027,1801S RETAIL PANSY MATRIX WHITE,straight,Pansy,color_annuals,,,64,11.95,1,1,1,,1,,1,,4
S27-0382,AN04CUP001,"4.5"" CUPHEA CHERRYBELLS",straight,Cuphea,,"4.5""",,60,31.96,10,1,1,,1,1,,,4
S27-0839,AN04PLE001,"4.5"" PLECTRANTHUS GUACAMOLE",straight,Plectranthus,,"4.5""",,60,32.16,10,1,1,,1,1,,,4
S27-1007,,"4.5"" ZINNIA PROFUSION RED",straight,Zinnia,color_annuals,"4.5""",,60,,10,1,1,1,1,,,,4
S27-0442,AN04EUC001,"4.5"" EUCALYPTUS BABY BLUE BOUQUET",straight,Eucalyptus,,"4.5""",,58,32.37,10,1,1,,1,1,,,4
S27-0548,AN04GEB003,"4.5"" GERBERA COLORBLOOM WATERMELON WITH DARK EYE",straight,Gerbera,,"4.5""",,56,31.97,10,1,1,,1,1,,,4
S27-0549,AN04GEB004,"4.5"" GERBERA COLORBLOOM WHITE WITH DARK EYE",straight,Gerbera,,"4.5""",,56,32.32,10,1,1,,1,1,,,4
S27-0584,AN04GRA004,"4.5"" JUNCUS BLUE ARROW",straight,Juncus,,"4.5""",,56,32.28,10,1,1,,1,1,,,4
S27-0588,AN04GRA005,"4.5"" JUNCUS TWISTED ARROWS",straight,Juncus,,"4.5""",,56,31.52,10,1,1,,1,1,,,4
S27-0390,AN11DCOM008,"POT 11"" DAHLIA CITY LIGHTS APRICOT GLOW",straight,Dahlia,color_annuals,,,52,23.94,1,1,1,,1,,1,,4
S27-0392,AN11DCOM010,"POT 11"" DAHLIA CITY LIGHTS LAVENDER PINK",straight,Dahlia,color_annuals,,,52,24.05,1,1,1,,1,,1,,4
S27-0001,AN04CHE001,"4.5"" CHENILLE FIRETAIL",straight,Acalypha,,"4.5""",,50,32.2,10,1,1,,1,1,,,4
S27-0273,AN04CAA007,"4.5"" CANNA CANNOVA GOLD LEOPARD",straight,Canna,,"4.5""",,50,32.72,10,1,1,,1,1,,,4
S27-0315,AN11FCOL001,FIBER LG. COLEUS MAIN STREET ALLIGATOR ALLEY,straight,Coleus,color_annuals,,,50,17.52,1,1,1,,1,,1,,4
S27-0317,AN11FCOL002,FIBER LG. COLEUS MAIN STREET BEALE STREET,straight,Coleus,color_annuals,,,50,17.49,1,1,1,,1,,1,,4
S27-0319,AN11FCOL003,FIBER LG. COLEUS MAIN STREET BOURBON STREET,straight,Coleus,color_annuals,,,50,17.52,1,1,1,,1,,1,,4
S27-0321,AN11FCOL005,FIBER LG. COLEUS MAIN STREET BROAD STREET,straight,Coleus,color_annuals,,,50,17.5,1,1,1,,1,,1,,4
S27-0324,AN11FCOL006,FIBER LG. COLEUS MAIN STREET LA RAMBLA,straight,Coleus,color_annuals,,,50,17.54,1,1,1,,1,,1,,4
S27-0329,AN11FCOL004,FIBER LG. COLEUS MAIN STREET RIVER WALK,straight,Coleus,color_annuals,,,50,17.47,1,1,1,,1,,1,,4
S27-0332,AN11FCOL007,FIBER LG. COLEUS MAIN STREET WALL STREET,straight,Coleus,color_annuals,,,50,17.51,1,1,1,,1,,1,,4
S27-0383,AN04CUP005,"4.5"" CUPHEA ENCHANTIA LAVENDER",straight,Cuphea,,"4.5""",,50,32.05,10,1,1,,1,1,,,4
S27-0626,AN04LOU003,"4.5"" LOBULARIA EASY BREEZY WHITE",straight,Lobularia,,"4.5""",,50,31.89,10,1,1,,1,1,,,4
S27-0633,,"4.5"" MARIGOLD MANGO TANGO",straight,Marigold,color_annuals,"4.5""",,50,,10,1,1,1,1,,,,4
S27-0391,AN11DCOM009,"POT 11"" DAHLIA CITY LIGHTS GOLDEN YELLOW",straight,Dahlia,color_annuals,,,48,24,1,1,1,,1,,1,,4
S27-0393,AN11DCOM011,"POT 11"" DAHLIA CITY LIGHTS NEON",straight,Dahlia,color_annuals,,,48,24,1,1,1,,1,,1,,4
S27-0394,AN11DCOM012,"POT 11"" DAHLIA CITY LIGHTS PURPLE",straight,Dahlia,color_annuals,,,48,24.02,1,1,1,,1,,1,,4
S27-0395,AN11DCOM013,"POT 11"" DAHLIA CITY LIGHTS RED",straight,Dahlia,color_annuals,,,48,23.99,1,1,1,,1,,1,,4
S27-0727,AN180PAN010,1801S RETAIL PANSY DELTA PRO CLEAR RED,straight,Pansy,color_annuals,,,48,11.81,1,1,1,,1,,1,,4
S27-0738,AN180PAN018,1801S RETAIL PANSY FRIZZLE SIZZLE BLUE,straight,Pansy,color_annuals,,,48,11.97,1,1,1,,1,,1,,4
S27-0740,AN180PAN019,1801S RETAIL PANSY FRIZZLE SIZZLE ORANGE,straight,Pansy,color_annuals,,,48,11.94,1,1,1,,1,,1,,4
S27-0060,AN11FBEG001,FIBER LG. BEGONIA BIG PINK,straight,Begonia,color_annuals,,,44,17.44,1,1,1,,1,,1,,4
S27-0272,AN04CAA006,"4.5"" CANNA CANNOVA CASA BRONZE PEACH",straight,Canna,,"4.5""",,40,32.84,10,1,1,,1,1,,,4
